label,sweep,dtype,device,machine,host,fn,d,batch,version
l4,dim,f32,NVIDIA L4,NVIDIA L4,gpu043,Ackley,,1024,0.11.0
l4,dim,f64,NVIDIA L4,NVIDIA L4,gpu043,Ackley,,1024,0.11.0
l40s,batch,f16,NVIDIA L40S,NVIDIA L40S,ials-gpu034,Ackley,64,,0.11.0
l40s,batch,f32,NVIDIA L40S,NVIDIA L40S,ials-gpu034,Ackley,64,,0.11.0
l40s,batch,f64,NVIDIA L40S,NVIDIA L40S,ials-gpu035,Ackley,64,,0.11.0
l40s,dim,f16,NVIDIA L40S,NVIDIA L40S,ials-gpu034,Ackley,,1024,0.11.0
l40s,dim,f32,NVIDIA L40S,NVIDIA L40S,ials-gpu034,Ackley,,1024,0.11.0
l40s,dim,f64,NVIDIA L40S,NVIDIA L40S,ials-gpu034,Ackley,,1024,0.11.0
m40,batch,f16,Tesla M40 24GB,Tesla M40 24GB,gypsum-gpu010,Ackley,64,,0.11.0
m40,batch,f32,Tesla M40 24GB,Tesla M40 24GB,gypsum-gpu002,Ackley,64,,0.11.0
m40,batch,f64,Tesla M40 24GB,Tesla M40 24GB,gypsum-gpu002,Ackley,64,,0.11.0
m40,dim,f16,Tesla M40 24GB,Tesla M40 24GB,gypsum-gpu018,Ackley,,1024,0.11.0
m40,dim,f32,Tesla M40 24GB,Tesla M40 24GB,gypsum-gpu004,Ackley,,1024,0.11.0
m40,dim,f64,Tesla M40 24GB,Tesla M40 24GB,gypsum-gpu002,Ackley,,1024,0.11.0
rtx_8000,batch,f16,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu182,Ackley,64,,0.11.0
rtx_8000,batch,f32,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu186,Ackley,64,,0.11.0
rtx_8000,batch,f64,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu182,Ackley,64,,0.11.0
rtx_8000,dim,f16,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu182,Ackley,,1024,0.11.0
rtx_8000,dim,f32,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu182,Ackley,,1024,0.11.0
